id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,originalAmount,refCode,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_GlobalCluster.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_GlobalCluster.code,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Location.code,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Plan.organizationLevels,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.organizationLevels,destinationObjects_Project.code,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_Emergency.code,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date,amountUSD_defl,amountUSD_defl_millions,COVID,deflator,destination_org_country,destination_org_iso3,destination_orgtype,domestic_response,dummy,multiyear,new_to_country,new_to_plan,new_to_sector,newMoney_dest,reportDetails_destinationType,source_org_country,source_org_iso3,source_orgtype,sourceObjects_Emergency.behavior,sourceObjects_Emergency.code,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.organizationLevels,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Emergency.organizationTypes,sourceObjects_GlobalCluster.code,sourceObjects_Location.code,sourceObjects_Organization.code,sourceObjects_Plan.behavior,sourceObjects_Plan.code,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.organizationLevels,sourceObjects_Plan.organizationSubTypes,sourceObjects_Plan.organizationTypes,sourceObjects_Project.behavior,sourceObjects_Project.code,sourceObjects_Project.id,sourceObjects_Project.name,sourceObjects_Project.organizationLevels,sourceObjects_Project.organizationSubTypes,sourceObjects_Project.organizationTypes,sourceObjects_UsageYear.code,year
1000,374000,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Household food security,,,2001-04-05T00:00:00Z,Standard,Food|allocation of unearmarked funds,FALSE,USD,Traditional aid,1006,paid,2012-03-28T15:43:00Z,1,internal,single,,"",4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,21,2000,single,,,,,"","",,,,,Unspecified,"",,,,6,Food Security,single,"","","",,212,Sudan,single,,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,,60,Sudan 2000,single,,,,,659,Household food security,single,,,,SUD-00-1/N03,21,2000,single,,,,,,"","",,,,,Primary; Primary,Food and Agriculture Organization of the United Nations; Allocation of unearmarked funds by FAO,Other; Other,2001-04-05T00:00:00.000Z; 2001-04-05T00:00:00.000Z,631749.493771867,0.631749493771867,FALSE,0.592006806,Sudan,SDN,Multilateral: UN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,Italy,ITA,Multilateral: UN,,,,,,,,,,,,,,,,,,,,,,,,,,2000
10012,638319,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Fabrication and delivery of uniforms to the local police in Kosovo,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,5164000,"",3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,Unspecified,"",,,,10,Protection,single,"","","","",25724802,Serbia and Montenegro (until 2006-2009),single,,,,,60,United Nations Mission in Kosovo,single,Multilateral Organizations,UN Agencies,International Actors,,,"","",,,,,,"","",,,,"",21,2000,single,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Denmark, Government of",,2002-07-03T00:00:00.000Z,1148486.73123845,1.14848673123845,FALSE,0.555791358,Serbia and Montenegro (until 2006-2009),,Multilateral: UN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,Denmark,DNK,Governments: DAC,,,,,,,,,,,,,,,,,,,,,,,,,,2000
10900,637216,2000,,financial,2002-09-26T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,"Basic food needs, nutrition security (IESP) through food for work activities for IDPs in camps, support activities for agricultural production in favour of 8,500 families (IDPs) returnees in Bengue",,,2002-09-26T00:00:00Z,Standard,Humanitarian aid,TRUE,"",Traditional aid,,commitment,2002-09-26T00:00:00Z,1,incoming,single,,"",4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,83,Germany,single,,,,,Unspecified,"",,,,26479,Multi-sector,single,"","","","",7,Angola,single,,,,,"","","","","","",,,"","",,,,,,"","",,,,"",21,2000,single,,,,,,"","",,,,,Primary,"Germany, Government of",Other,2002-09-26T00:00:00.000Z,1042470.40829328,1.04247040829328,FALSE,0.61125572,Angola,AGO,Other: Unknown,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,Germany,DEU,Governments: DAC,,,,,,,,,,,,,,,,,,,,,,,,,,2000
1986,25000,,,financial,2001-04-23T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Cash,,,2001-04-23T00:00:00Z,Standard,Food,TRUE,"",Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,"",2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,237,United States,single,,,,,Unspecified,"",,,,6,Food Security,single,"","","","",103,India,single,,,,,4846,"India, Government of",single,Governments,National Governments,National and Sub-National State Actors,,,"","",,,,,,"","",,,,"",21,2000,single,,,,,61,"INDIA - Floods, August 2000",single,,,,,Primary; Primary,"NA; United States of America, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z,40554.8790578156,0.0405548790578156,FALSE,0.616448639,India,IND,Governments: National,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,United States,USA,Governments: DAC,,,,,,,,,,,,,,,,,,,,,,,,,,2000
1987,25000,,,financial,2001-04-23T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Cash,,,2001-04-23T00:00:00Z,Standard,Food|Bilateral aid,TRUE,"",Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,"",2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,237,United States,single,,,,,Unspecified,"",,,,6,Food Security,single,"","","","",122,Lao People's Democratic Republic,single,,,,,2781,"Lao (People's Democratic Republic), Government of",single,Governments,National Governments,National and Sub-National State Actors,,,"","",,,,,,"","",,,,"",21,2000,single,,,,,60,LAO PDR - Floods - September 2000,single,,,,,Primary; Primary,"United Kingdom, Government of; NA",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z,40554.8790578156,0.0405548790578156,FALSE,0.616448639,Lao People's Democratic Republic,LAO,Governments: National,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,United States,USA,Governments: DAC,,,,,,,,,,,,,,,,,,,,,,,,,,2000
1988,0,,,in kind,2001-04-23T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,2 ships with relief personnel and supplies including a water production/purification plant*,,,2001-04-23T00:00:00Z,Standard,Bilateral aid,TRUE,"",Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,"",2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,236,United Kingdom,single,,,,,Unspecified,"",,,,"",Unspecified,"","","","","",23,Belize,single,,,,,1596,"Belize, Government of",single,Governments,National Governments,National and Sub-National State Actors,,,"","",,,,,,"","",,,,"",21,2000,single,,,,,25,BELIZE - Hurricane  - September 2000,single,,,,,Primary; Primary,Pan-American Health Organization (World Health Organization); Pan-American Health Organization (World Health Organization),Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z,0,0,FALSE,0.753725632,Belize,BLZ,Governments: National,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,United Kingdom,GBR,Governments: DAC,,,,,,,,,,,,,,,,,,,,,,,,,,2000
1989,50000,,,financial,2001-04-23T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Cash,,,2001-04-23T00:00:00Z,Standard,Food,FALSE,"",Traditional aid,,paid,2001-04-23T00:00:00Z,1,internal,single,,"",8498,Pan-American Health Organization (World Health Organization),single,Multilateral Organizations,UN Agencies,International Actors,21,2000,single,,,,,"","",,,,,Unspecified,"",,,,6,Food Security,single,"","","","",23,Belize,single,,,,,8498,Pan-American Health Organization (World Health Organization),single,Multilateral Organizations,UN Agencies,International Actors,,,"","",,,,,,"","",,,,"",21,2000,single,,,,,25,BELIZE - Hurricane  - September 2000,single,,,,,Primary; Primary,Pan-American Health Organization (World Health Organization); Pan-American Health Organization (World Health Organization),Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z,81109.7581156311,0.0811097581156311,FALSE,0.616448639,Belize,BLZ,Multilateral: UN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,United States,USA,Multilateral: UN,,,,,,,,,,,,,,,,,,,,,,,,,,2000
1990,0,,,in kind,2001-04-23T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Supplies Management Team activated and operation at the airport*,,,2001-04-23T00:00:00Z,Standard,"",FALSE,"",Traditional aid,,paid,2001-04-23T00:00:00Z,1,internal,single,,"",8498,Pan-American Health Organization (World Health Organization),single,Multilateral Organizations,UN Agencies,International Actors,21,2000,single,,,,,"","",,,,,Unspecified,"",,,,"",Unspecified,"","","","","",23,Belize,single,,,,,8498,Pan-American Health Organization (World Health Organization),single,Multilateral Organizations,UN Agencies,International Actors,,,"","",,,,,,"","",,,,"",21,2000,single,,,,,25,BELIZE - Hurricane  - September 2000,single,,,,,Primary; Primary,"Canada, Government of; Pan-American Health Organization (World Health Organization)",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z,0,0,FALSE,0.616448639,Belize,BLZ,Multilateral: UN,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,United States,USA,Multilateral: UN,,,,,,,,,,,,,,,,,,,,,,,,,,2000
1991,33783,,,financial,2001-04-23T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,"Cash - CAD 50,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,"",Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,"",2928,"Canada, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,40,Canada,single,,,,,Unspecified,"",,,,6,Food Security,single,"","","","",23,Belize,single,,,,,8498,Pan-American Health Organization (World Health Organization),single,Multilateral Organizations,UN Agencies,International Actors,,,"","",,,,,,"","",,,,"",21,2000,single,,,,,25,BELIZE - Hurricane  - September 2000,single,,,,,Primary; Primary,"Norway, Government of; Office for the Coordination of Humanitarian Affairs",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z,64771.3239903403,0.0647713239903403,FALSE,0.521573405,Belize,BLZ,Multilateral: UN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,Canada,CAN,Governments: DAC,,,,,,,,,,,,,,,,,,,,,,,,,,2000
1992,30000,,,financial,2001-04-23T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Cash,,,2001-04-23T00:00:00Z,Standard,Food,TRUE,"",Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,"",2930,"Norway, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,167,Norway,single,,,,,Unspecified,"",,,,6,Food Security,single,"","","","",23,Belize,single,,,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,,,"","",,,,,,"","",,,,"",21,2000,single,,,,,25,BELIZE - Hurricane  - September 2000,single,,,,,Primary; Primary,"Australia, Government of; Australian Red Cross",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z,73019.8308838811,0.0730198308838811,FALSE,0.410847295,Belize,BLZ,Multilateral: UN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,Norway,NOR,Governments: DAC,,,,,,,,,,,,,,,,,,,,,,,,,,2000
