year,total_public_iha
2000,8214.78701541185
2001,9743.71913029022
2002,8842.96688152571
2003,11640.8257513923
2004,11994.9848555163
2005,13881.0287802566
2006,11201.2963310234
2007,10469.5870317404
2008,13769.9288890127
2009,13354.8406019772
2010,14021.7773547321
2011,14651.2146322091
2012,13209.0931170581
2013,16040.785184761
2014,19935.8747650635
2015,22208.6580589635
2016,24873.7664590939
2017,26887.2012170441
2018,27768.3061816438
2019,27835.327216063
2020,27122.1306186786
2021,30906.289209538
2022,35616.9272593903
